,ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT,0
0,120161001-2639-01,120161001,00:50.9,-932437104,448629658,09:53.8,-932204602,449212047,921.0,1.0,Saturday,Saturday,94,103
1,120161001-2651-23,120161001,32:42.7,-931682100,450122772,12:53.5,-932204735,449212381,921.0,1.0,Saturday,Saturday,58,103
2,120161001-2639-02,120161001,10:26.3,-932208789,449209469,50:14.8,-931682212,450123170,921.0,4.0,Saturday,Saturday,56,101
3,120161001-2651-24,120161001,13:32.0,-932208801,449209518,53:04.9,-932434442,448629962,921.0,4.0,Saturday,Saturday,120,101
4,120161002-2639-00,120161002,16:46.1,-932442578,448628716,47:00.2,-932425591,448627501,921.0,1.0,Sunday,Sunday,47,103
5,120161002-2651-25,120161002,49:29.1,-931681330,450122784,44:01.5,-932204057,449211951,921.0,1.0,Sunday,Sunday,65,103
7,120161002-2651-26,120161002,44:44.1,-932208378,449209367,27:11.7,-932433241,448637998,921.0,4.0,Sunday,Sunday,115,100
6,120161002-2639-01,120161002,47:45.7,-932403429,448632760,54:17.6,-931685388,450125437,921.0,4.0,Sunday,Sunday,99,100
8,120161003-2639-00,120161003,29:53.0,-932423235,448640079,36:22.8,-932204639,449212896,921.0,1.0,Weekday,Weekday,184,112
9,120161003-2651-19,120161003,35:29.0,-931684504,450126995,57:25.0,-932081234,449198087,921.0,1.0,Weekday,Weekday,8,112
11,120161003-2651-18,120161003,37:17.0,-932428837,448627306,22:58.0,-931662608,450045821,921.0,4.0,Weekday,Weekday,5,107
10,120161003-2639-01,120161003,37:22.6,-932208507,449209599,24:47.1,-931682967,450125667,921.0,4.0,Weekday,Weekday,97,107
13,120161004-2651-26,120161004,24:37.6,-931681106,450122825,54:45.1,-932441555,448629085,921.0,1.0,Weekday,Weekday,105,111
12,120161004-2639-01,120161004,41:52.0,-932426997,448639220,45:24.2,-932409292,448627349,921.0,1.0,Weekday,Weekday,6,111
15,120161004-2651-25,120161004,37:16.5,-932208653,449209728,23:53.1,-931685018,450126454,921.0,4.0,Weekday,Weekday,66,103
14,120161004-2639-02,120161004,45:27.0,-932408330,448627617,44:07.3,-931684102,450123423,921.0,4.0,Weekday,Weekday,113,103
16,120161005-2639-00,120161005,45:02.4,-932424491,448640994,46:39.4,-932431019,448634507,921.0,1.0,Weekday,Weekday,217,111
17,120161005-2651-14,120161005,59:31.1,-931682254,450122663,37:40.8,-932438485,448632091,921.0,1.0,Weekday,Weekday,50,111
18,120161005-2640-00,120161005,12:30.3,-932412863,448626288,43:33.4,-931683577,450126485,921.0,4.0,Weekday,Weekday,144,102
19,120161005-2651-13,120161005,29:24.5,-932208443,449209342,59:17.4,-931684646,450125497,921.0,4.0,Weekday,Weekday,65,102
21,120161006-2651-18,120161006,04:17.8,-931681821,450122812,42:21.8,-932430447,448635386,921.0,1.0,Weekday,Weekday,337,110
20,120161006-2639-00,120161006,09:58.1,-932431019,448634507,36:40.0,-932204493,449212923,921.0,1.0,Weekday,Weekday,183,110
23,120161006-2651-17,120161006,16:40.3,-932207939,449209355,03:50.8,-931684671,450125516,921.0,4.0,Weekday,Weekday,91,101
22,120161006-2639-01,120161006,37:02.9,-932208209,449209035,24:11.2,-931682828,450126627,921.0,4.0,Weekday,Weekday,92,101
25,120161007-2651-14,120161007,32:10.0,-931681660,450122748,41:30.2,-932424522,448641748,921.0,1.0,Weekday,Weekday,173,111
24,120161007-2639-00,120161007,33:09.4,-932424741,448630733,56:28.4,-932204351,449212385,921.0,1.0,Weekday,Weekday,126,111
27,120161007-2651-13,120161007,43:59.2,-932208368,449209470,31:42.1,-931681922,450126344,921.0,4.0,Weekday,Weekday,96,102
26,120161007-2639-01,120161007,57:14.0,-932208614,449209415,44:01.4,-931685469,450126264,921.0,4.0,Weekday,Weekday,80,102
29,120161008-2650-22,120161008,33:44.1,-931682398,450122747,13:40.6,-932204637,449213068,921.0,1.0,Saturday,Saturday,71,107
28,120161008-2640-00,120161008,43:47.1,-932435523,448629512,17:15.9,-932431029,448637411,921.0,1.0,Saturday,Saturday,61,107
31,120161008-2650-23,120161008,14:09.8,-932208377,449209441,51:50.3,-932442331,448627642,921.0,4.0,Saturday,Saturday,124,101
30,120161008-2640-01,120161008,17:52.1,-932431029,448637411,15:06.2,-931682249,450123237,921.0,4.0,Saturday,Saturday,86,101
