,trip_id,service_id_start,trip_headsign_start,dir_sign_start,SERV_DAY_start,stop_lat_start,stop_lon_start,arrival_time_start,departure_time_start,stop_id_start,stop_name_start,stop_desc_start,stop_lat_end,stop_lon_end,arrival_time_end,departure_time_end,stop_id_end,stop_name_end,stop_desc_end,0
0,9552461-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4,Saturday,44.921353,-93.220574,4:30:00,4:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,4:55:00,4:55:00,52531,Rosedale Transit Center  Gate A,Near side S,100
1,9552656-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4,Saturday,44.921353,-93.220574,24:44:00,24:44:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:10:00,25:10:00,52531,Rosedale Transit Center  Gate A,Near side S,100
2,9552557-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1,Saturday,45.012498,-93.168526,4:01:00,4:01:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,4:25:00,4:25:00,51544,46th St Station Gate A,Near side N,101
3,9552655-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1,Saturday,45.012498,-93.168526,24:49:00,24:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:15:00,25:15:00,51544,46th St Station Gate A,Near side N,101
4,9558201-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4,Sunday,44.921353,-93.220574,4:30:00,4:30:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,4:55:00,4:55:00,52531,Rosedale Transit Center  Gate A,Near side S,97
5,9558386-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4,Sunday,44.921353,-93.220574,24:45:00,24:45:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:10:00,25:10:00,52531,Rosedale Transit Center  Gate A,Near side S,97
6,9558391-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1,Sunday,45.012498,-93.168526,4:01:00,4:01:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,4:25:00,4:25:00,51544,46th St Station Gate A,Near side N,99
7,9558396-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1,Sunday,45.012498,-93.168526,24:49:00,24:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:15:00,25:15:00,51544,46th St Station Gate A,Near side N,99
8,9541549-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4,Weekday,44.921353,-93.220574,4:00:00,4:00:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,4:24:00,4:24:00,52531,Rosedale Transit Center  Gate A,Near side S,101
9,9541648-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4,Weekday,44.921353,-93.220574,25:09:00,25:09:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:35:00,25:35:00,52531,Rosedale Transit Center  Gate A,Near side S,101
10,9541650-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,Weekday,45.012498,-93.168526,4:06:00,4:06:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,4:29:00,4:29:00,51544,46th St Station Gate A,Near side N,104
11,9541750-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,Weekday,45.012498,-93.168526,24:59:00,24:59:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:25:00,25:25:00,51544,46th St Station Gate A,Near side N,104
